27	30	0.0167474	71.0381	133.948	88.0792
38	43	0.0356446	-6.63045	130.263	136.384
46	3	0.00557451	-14.4991	134.865	4.71011
46	57	0.0760118	-71.1956	135.409	188.014
51	25	0.18201	-62.9018	131.141	97.1907
71	33	0.0293298	-50.9798	135.266	101.64
71	34	0.126479	-49.2338	136.051	104.9
72	26	0.042524	-42.4519	130.033	81.3815
74	35	4.33011	-20.8875	133.519	105.008
74	34	0.293837	-30.543	138.484	106.513
80	56	0.104987	-93.5737	130.748	194.322
111	62	0.192076	74.9527	139.615	186.811
111	88	1.32164	-76.2283	133.969	279.232
111	36	0.0821224	10.8691	130.221	103.669
121	20	0.0801525	1.66905	131.989	50.1471
129	36	0.0331218	3.95755	130.186	117.505
162	11	0.0633039	-2.38805	130.765	42.0044
166	52	0.11011	4.76275	130.807	162.78
167	59	0.831822	-2.9002	137.324	186.178
173	39	0.0225752	76.392	130.137	106.355
179	44	0.0483543	4.90987	130.049	127.873
183	27	0.0674986	-24.0741	130.736	95.4934
187	46	0.00534285	56.0751	130.189	144.197
189	7	0.0354943	84.3263	130.011	22.3391
204	100	0.326685	18.3866	133.02	310.709
216	5	0.0440539	48.2776	130.678	9.10459
220	45	0.0984071	35.1617	130.362	136.694
245	58	0.0836594	-43.9495	130.13	176.465
261	9	0.0537295	-57.1795	130.916	44.4763
267	10	0.0529485	-49.0403	130.051	38.5956
276	4	0.0294729	6.89612	130.248	8.01411
284	6	0.0583278	69.1837	130.442	2.56937
285	15	0.00970527	95.0693	133.982	43.186
293	104	0.152971	-89.6584	132.774	333.807
318	93	2.67765	28.6499	131.833	289.91
340	11	0.0248264	-0.127478	130.008	42.6939
398	32	0.157225	-92.41	133.162	113.536
402	18	0.0216386	-39.101	138.763	58.9032
407	3	0.0401658	-15.0658	130.169	13.3853
430	10	0.0743583	-42.6417	131.498	27.2585
430	33	59.7636	-57.537	136.766	108.308
439	89	12.6944	-67.4736	130.205	278.527
441	34	0.0670577	-38.2493	130.446	105.699
451	15	0.169862	85.8204	134.854	35.6665
452	57	9.94081e-06	-62.7344	131.721	179.797
461	37	0.0526395	47.2749	130.248	105.637
463	54	0.0499848	56.3742	130.502	162.299
469	29	0.0299551	25.1478	131.612	86.7171
469	28	0.141931	19.78	133.689	91.5531
469	49	0.0238667	-59.7803	133.4	173.466
472	13	0.0556992	32.7452	130.064	32.1096
474	74	13.9321	-46.814	134.14	250
474	82	20.9544	-48.9373	139.228	257.906
474	47	0.00290093	92.7148	130.387	130.853
479	36	2.94214	1.75515	131.301	109.072
479	79	0.0749171	98.6084	130.338	232.944
493	42	1.22731	-45.9454	138.53	130.288
493	33	0.0542928	-54.5212	134.335	123.023
494	35	0.0300482	-5.10313	130.028	107.251
504	30	0.21308	50.2372	133.885	97.9038
504	27	0.101572	-13.8868	131.158	98.8014
515	67	0.0300845	-18.7639	130.208	210.513
519	14	0.0263342	52.0129	130.014	47.1458
525	67	86.3616	-23.428	136.13	215.716
525	65	0.0175419	-54.9422	133.842	216.481
526	29	0.20693	43.0162	136.089	79.4671
534	10	0.168073	-30.2034	135.317	40.3107
551	37	0.0295462	47.8696	130.074	114.669
555	18	0.0314374	-29.6012	130.219	52.792
556	6	0.275236	59.8697	130.849	9.15523
556	59	0.303562	-24.9483	134.121	181.397
556	60	0.00883764	2.55649	139.677	190.046
570	110	0.62522	69.1552	133.733	342.786
574	25	0.0927368	-68.8373	130.066	91.5461
606	27	0.0369113	-23.7392	130.102	85.9967
626	31	0.00210491	89.5774	133.019	92.8572
665	35	0.105599	-4.90566	130.449	100.961
665	69	0.109643	36.9995	133.173	203.26
665	61	0.260131	36.6213	137.424	199.356
672	7	0.172886	82.8141	130.806	16.7064
674	33	1.74952	-53.6447	136.753	107.643
674	25	0.207832	-56.6308	139.525	90.8231
712	33	0.12025	-56.4226	133.946	110.803
745	22	0.0851459	72.9625	131.232	57.1615
745	30	0.0414786	52.9444	130.759	95.1804
748	32	0.0557492	-87.6634	130.024	116.973
778	52	0.329073	3.18955	131.039	172.177
778	60	0.395453	1.10538	133.02	179.962
778	35	0.0199112	-0.457158	130.011	104.003
783	38	0.0694336	62.2851	130.512	116.163
790	26	0.0242523	-36.4951	130.161	81.7212
792	88	0.160471	-87.7124	134.208	279.552
792	80	0.208041	-91.1028	135.864	274.832
796	74	34.3156	-31.1289	131.75	248.305
796	60	0.314246	24.045	130.583	186.146
797	105	27.8035	-53.2802	134.005	347.504
797	113	26.8123	-55.0456	138.916	358.137
797	75	0.017773	-14.343	137.609	225.27
827	18	0.024127	-35.0581	139.078	57.4377
827	17	2.9952	-72.4179	135.974	54.7495
848	26	1.72734	-48.257	130.412	84.7451
848	28	0.0485579	1.29852	138.534	99.4057
849	30	0.119365	71.6149	133.527	84.3485
878	16	0.0309705	-78.6065	130.004	72.0838
880	37	0.0268054	36.632	130.043	116.578
902	67	51.3962	-22.1167	132.575	220.853
902	124	0.00830522	1.14102	138.306	385.806
902	114	0.00731918	-27.0273	136.923	364.464
918	15	0.0945657	83.5006	130.04	31.0916
954	66	1.49266	-29.2471	137.74	222.899
956	116	0.0375506	18.5442	139.61	355.03
968	32	0.421506	-98.0653	137.988	118.505
968	2	0.353168	-32.5911	133.613	10.4487
1019	118	22.3142	68.5093	131.704	372.976
1019	126	59.407	70.461	134.155	381.578
1038	3	0.0953569	-23.8856	130.391	21.7093
1038	83	0.230914	-6.95045	134.205	254.778
